Country,AQI
Albania,23
Algeria,50
Antarctica, 35
Andorra,20
Angola, 35
Argentina,51
Armenia,34
Australia,46
Austria,56
Azerbaijan,48
Bahrain,137
Bangladesh,161
Belarus,62
Belgium,143
Belize,15
Bermuda,17
Bolivia,139
Bosnia and Herzegovina,46
Brazil,196
Brunei,11
Bulgaria,48
Cambodia,42
Cameroon, 19
Canada,73
Cape Verde,31
Chad,21
Chile,81
China,150
Colombia,68
Costa Rica,42
Congo, 17
Croatia,61
Cyprus,36
Czech Republic,79
Denmark,24
Dominican Republic,25
Ecuador,52
Egypt,34
El Salvador,51
Estonia,16
Ethiopia,25
Finland,17
France,110
French Guiana,30
Georgia,42
Germany,160
Ghana,22
Gibraltar,33
Greece,60
Greenland, 19
Grenada,46
Guadeloupe,25
Guatemala,61
Honduras,33
Hong Kong,44
Hungary,51
Iceland,21
India,179
Indonesia,140
Iran,119
Iraq,120
Ireland,49
Israel,44
Italy,58
Ivory Coast,17
Japan,76
Jordan,14
Kazakhstan,47
Kenya,103
Kosovo,33
Kuwait,77
Kyrgyzstan,36
Laos,53
Latvia,67
Liberia,18
Libya, 89
Liechtenstein,7
Lithuania,72
Luxembourg,66
Macao,50
Macedonia,44
Madagascar,77
Malaysia,63
Malawi, 30
Mali, 50
Malta,19
Martinique,41
Mauritania, 32
Mexico,91
Moldova,11
Monaco,6
Mongolia,52
Montenegro,28
Mozambique, 27
Myanmar,46
Namibia, 19
Nepal,62
Netherlands,144
New Caledonia,30
New Zealand,18
Niger, 33
Nigeria,54
Norway,22
Pakistan,126
Palestinian Territory,57
Paraguay, 28
Peru,137
Philippines,56
Poland,94
Portugal,93
Puerto Rico,13
Reunion,15
Romania,56
Russia,110
San Marino,33
Saudi Arabia, 96
Senegal,66
Serbia,73
Singapore,72
Slovakia,37
Slovenia,56
Somalia, 20
South Africa,111
South Korea,58
Spain,71
Sri Lanka,49
Sudan, 149
Sweden,33
Switzerland,35
Taiwan,51
Tajikistan,104
Thailand,89
Togo,8
Trinidad and Tobago,34
Turkey,69
Turkmenistan,85
Uganda,86
Ukraine,74
United Arab Emirates,101
United Kingdom of Great Britain and Northern Ireland,127
United States of America,89
Vatican,25
Venezuela,47
Vietnam,50
Zambia,170
